char,pinyin,ratio
没,mei2,0.9125
没,mo4,0.0875
教,jiao4,0.9938
教,jiao1,0.0062
柏,bo2,0.7566
柏,bai3,0.2434
行,xing2,0.9554
行,hang2,0.0446
什,shi2,0.7937
什,shen2,0.2062
么,me5,1.0000
答,da2,0.9045
答,da1,0.0955
那,na4,1.0000
散,san4,0.8052
散,san3,0.1948
落,luo4,1.0000
混,hun4,1.0000
葛,ge3,0.8846
葛,ge2,0.1154
把,ba3,1.0000
查,cha2,1.0000
令,ling4,1.0000
王,wang2,1.0000
将,jiang1,0.8205
将,jiang4,0.1795
长,zhang3,0.6139
长,chang2,0.3861
足,zu2,1.0000
传,chuan2,0.9125
传,zhuan4,0.0875
远,yuan3,1.0000
离,li2,1.0000
兴,xing1,0.9119
兴,xing4,0.0881
克,ke4,1.0000
着,zhe5,0.9679
着,zhuo2,0.0192
着,zhao2,0.0128
衰,shuai1,0.9938
衰,cui1,0.0062
参,can1,0.9876
参,shen1,0.0124
打,da3,1.0000
还,hai2,0.9494
还,huan2,0.0506
蒙,meng2,0.5287
蒙,meng3,0.4713
尽,jin3,0.6178
尽,jin4,0.3822
佛,fo2,0.9863
佛,fu2,0.0137
追,zhui1,1.0000
看,kan4,0.9750
看,kan1,0.0250
似,si4,1.0000
合,he2,1.0000
当,dang1,0.9809
当,dang4,0.0191
唯,wei2,1.0000
干,gan1,0.5235
干,gan4,0.4765
服,fu2,1.0000
勒,le4,0.9938
勒,lei1,0.0062
卡,ka3,0.9938
卡,qia3,0.0062
儿,er2,0.9752
儿,r5,0.0248
单,dan1,0.9936
单,shan4,0.0064
刺,ci4,1.0000
莎,sha1,0.8000
莎,suo1,0.2000
几,ji3,0.7875
几,ji1,0.2125
属,shu3,1.0000
比,bi3,1.0000
只,zhi3,0.9079
只,zhi1,0.0921
处,chu4,0.7279
处,chu3,0.2721
便,bian4,0.9812
便,pian2,0.0187
折,zhe2,1.0000
给,gei3,0.9304
给,ji3,0.0696
据,ju4,1.0000
予,yu3,1.0000
综,zong1,1.0000
崭,zhan3,1.0000
划,hua4,1.0000
叶,ye4,1.0000
宁,ning2,1.0000
塞,sai4,0.9682
塞,se4,0.0191
塞,sai1,0.0127
采,cai3,1.0000
曲,qu3,0.8235
曲,qu1,0.1765
靡,mi2,0.5031
靡,mi3,0.4969
强,qiang2,0.9689
强,qiang3,0.0311
阿,a1,1.0000
奇,qi2,0.9875
奇,ji1,0.0125
匹,pi3,1.0000
模,mo2,0.9810
模,mu2,0.0190
空,kong1,0.9875
空,kong4,0.0125
句,ju4,0.7134
句,gou1,0.2866
否,fou3,1.0000
叉,cha1,1.0000
济,ji4,0.9211
济,ji3,0.0789
子,zi3,0.7829
子,zi5,0.2171
任,ren4,0.9938
任,ren2,0.0063
夫,fu1,1.0000
量,liang4,0.9684
量,liang2,0.0316
渐,jian4,1.0000
弄,nong4,0.7261
弄,long4,0.2739
头,tou2,0.9870
头,tou5,0.0130
广,guang3,1.0000
度,du4,1.0000
操,cao1,1.0000
盖,gai4,0.9875
盖,ge3,0.0125
哪,na3,0.9799
哪,na5,0.0201
难,nan2,0.5974
难,nan4,0.4026
适,shi4,1.0000
石,shi2,0.9938
石,dan4,0.0062
供,gong1,0.8854
供,gong4,0.1146
络,luo4,1.0000
隐,yin3,1.0000
藏,zang4,0.6792
藏,cang2,0.3208
侧,ce4,1.0000
华,hua2,1.0000
色,se4,1.0000
居,ju1,1.0000
片,pian4,1.0000
斗,dou4,0.9145
斗,dou3,0.0855
价,jia4,1.0000
甚,shen4,1.0000
厂,chang3,1.0000
率,lu:4,0.6062
率,shuai4,0.3937
占,zhan4,0.9750
占,zhan1,0.0250
场,chang3,1.0000
听,ting1,1.0000
免,mian3,1.0000
荡,dang4,1.0000
伯,bo2,1.0000
陆,lu4,1.0000
扎,zha1,0.9938
扎,zha2,0.0062
累,lei3,0.7315
累,lei2,0.1342
累,lei4,0.1342
少,shao3,0.6625
少,shao4,0.3375
压,ya1,1.0000
踏,ta4,0.9875
踏,ta1,0.0125
担,dan1,0.9805
担,dan4,0.0195
耶,ye1,0.9938
耶,ye2,0.0063
背,bei4,0.9873
背,bei1,0.0127
秘,mi4,0.9006
秘,bi4,0.0994
鲜,xian3,0.7391
鲜,xian1,0.2609
曾,ceng2,0.9167
曾,zeng1,0.0833
钻,zuan4,0.7986
钻,zuan1,0.2014
杠,gang4,1.0000
杆,gan1,0.7133
杆,gan3,0.2867
弹,dan4,0.7862
弹,tan2,0.2138
降,jiang4,0.7799
降,xiang2,0.2201
圈,quan1,0.9686
圈,juan4,0.0314
沈,shen3,1.0000
假,jia3,0.7188
假,jia4,0.2812
脉,mai4,1.0000
泥,ni2,0.9875
泥,ni4,0.0125
沉,chen2,1.0000
浆,jiang1,0.9938
浆,jiang4,0.0062
板,ban3,1.0000
艾,ai4,1.0000
冯,feng2,1.0000
铺,pu4,0.5223
铺,pu1,0.4777
省,sheng3,0.9812
省,xing3,0.0187
禁,jin4,0.9875
禁,jin1,0.0125
宿,su4,0.8375
宿,xiu4,0.1562
宿,xiu3,0.0063
浅,qian3,1.0000
糊,hu2,0.7674
糊,hu4,0.2326
监,jian1,0.9427
监,jian4,0.0573
校,xiao4,0.9750
校,jiao4,0.0250
估,gu1,0.9938
估,gu4,0.0063
堡,bao3,1.0000
档,dang4,1.0000
卷,juan4,0.6604
卷,juan3,0.3396
冲,chong1,0.9937
冲,chong4,0.0063
委,wei3,1.0000
贾,jia3,0.9441
贾,gu3,0.0559
扁,bian3,1.0000
丽,li4,0.7826
丽,li2,0.2174
边,bian1,0.9250
边,bian5,0.0750
涌,yong3,0.8987
涌,chong1,0.1013
俞,yu2,1.0000
稍,shao1,1.0000
尺,chi3,1.0000
剿,jiao3,1.0000
菲,fei1,1.0000
藉,jie4,0.7436
藉,ji2,0.2564
女,nu:3,1.0000
隆,long2,1.0000
娜,na4,1.0000
节,jie2,1.0000
拓,tuo4,0.9688
拓,ta4,0.0312
读,du2,1.0000
臭,chou4,0.9317
臭,xiu4,0.0683
哈,ha1,0.9938
哈,ha3,0.0062
嵌,qian4,1.0000
亲,qin1,0.9938
亲,qing4,0.0062
弟,di4,1.0000
草,cao3,1.0000
芥,jie4,1.0000
挑,tiao3,0.7885
挑,tiao1,0.2115
菌,jun1,1.0000
衣,yi1,1.0000
食,shi2,1.0000
页,ye4,1.0000
仔,zai3,0.7615
仔,zi3,0.2385
车,che1,0.9938
车,ju1,0.0063
氏,shi4,0.9938
氏,zhi1,0.0062
削,xue1,0.8428
削,xiao1,0.1572
奔,ben1,0.6644
奔,ben4,0.3356
妻,qi1,1.0000
盛,sheng4,0.9938
盛,cheng2,0.0062
祭,ji4,1.0000
禅,chan2,1.0000
廑,jin3,1.0000
恶,e4,0.8961
恶,wu4,0.0584
恶,e3,0.0455
汤,tang1,1.0000
挡,dang3,1.0000
殷,yin1,1.0000
乙,yi3,1.0000
奄,yan3,1.0000
卜,bu3,0.8874
卜,bo5,0.1126
倒,dao3,0.6711
倒,dao4,0.3289
溺,ni4,1.0000
召,zhao4,1.0000
缯,zeng1,1.0000
待,dai4,1.0000
渠,qu2,1.0000
畜,chu4,0.5938
畜,xu4,0.4062
丧,sang4,0.7020
丧,sang1,0.2980
磨,mo2,0.8214
磨,mo4,0.1786
薄,bo2,0.6328
薄,bao2,0.3281
薄,bo4,0.0391
骑,qi2,0.9586
骑,ji4,0.0414
朴,pu3,0.5065
朴,piao2,0.4870
朴,po4,0.0065
傀,kui3,1.0000
埋,mai2,1.0000
燕,yan4,0.5161
燕,yan1,0.4839
罢,ba4,1.0000
乘,cheng2,1.0000
谯,qiao2,1.0000
凉,liang2,1.0000
糜,mi2,0.9828
糜,mei2,0.0172
铣,xian3,0.7143
铣,xi3,0.2857
汗,han4,0.5816
汗,han2,0.4184
吐,tu3,0.8861
吐,tu4,0.1139
蕃,bo1,0.9852
蕃,fan1,0.0148
仆,pu2,1.0000
纥,he2,1.0000
挟,xie2,1.0000
匮,kui4,0.9929
匮,gui4,0.0071
剌,la4,1.0000
帖,tie3,0.9869
帖,tie1,0.0131
谥,shi4,1.0000
澄,cheng2,0.9935
澄,deng4,0.0065
炮,pao4,1.0000
褶,zhe3,1.0000
泊,po1,0.5302
泊,bo2,0.4698
涡,wo1,0.9456
涡,guo1,0.0544
雨,yu3,1.0000
炸,zha4,0.9565
炸,zha2,0.0435
涨,zhang3,0.9876
涨,zhang4,0.0124
喇,la3,0.9938
喇,la1,0.0063
屏,ping2,0.9938
屏,bing3,0.0062
夹,jia1,0.9503
夹,jia2,0.0497
横,heng2,0.9686
横,heng4,0.0314
顷,qing3,1.0000
脏,zang4,0.9187
脏,zang1,0.0813
刷,shua1,1.0000
虾,xia1,0.9938
虾,ha2,0.0063
笼,long2,0.9810
笼,long3,0.0190
饮,yin3,0.9689
饮,yin4,0.0311
泡,pao4,0.9161
泡,pao1,0.0839
鸟,niao3,1.0000
坊,fang1,0.7815
坊,fang2,0.2185
吁,yu4,1.0000
雀,que4,1.0000
荷,he2,0.9038
荷,he4,0.0962
戌,xu1,1.0000
冠,guan4,0.8165
冠,guan1,0.1835
匾,bian3,1.0000
屯,tun2,1.0000
抹,mo3,0.9355
抹,mo4,0.0323
抹,ma1,0.0323
掺,chan1,1.0000
谜,mi2,1.0000
厦,sha4,0.5312
厦,xia4,0.4688
抢,qiang3,1.0000
埔,pu3,0.9747
埔,bu4,0.0253
佣,yong1,0.9430
佣,yong4,0.0570
搁,ge1,1.0000
旋,xuan2,0.9812
旋,xuan4,0.0187
哺,bu3,1.0000
爪,zhao3,0.9109
爪,zhua3,0.0891
蛤,ge2,0.9938
蛤,ha2,0.0063
蜇,zhe2,0.7083
蜇,zhe1,0.2917
扇,shan4,0.9688
扇,shan1,0.0312
纤,xian1,0.9875
纤,qian4,0.0125
缝,feng4,0.6948
缝,feng2,0.3052
番,fan1,0.8581
番,pan1,0.1419
喷,pen1,1.0000
艮,gen4,0.9938
艮,gen3,0.0062
姥,lao3,0.6081
姥,mu3,0.3919
畲,she1,1.0000
蚌,beng4,0.5769
蚌,bang4,0.4231
蔚,wei4,0.8039
蔚,yu4,0.1961
圩,wei2,0.9419
圩,xu1,0.0581
凹,ao1,0.9750
凹,wa1,0.0250
尾,wei3,1.0000
掖,ye4,1.0000
肚,du4,0.8377
肚,du3,0.1623
敛,lian3,1.0000
侗,dong4,0.7750
侗,tong2,0.2250
勾,gou1,0.9752
勾,gou4,0.0248
辟,pi4,0.7625
辟,bi4,0.2375
翘,qiao4,0.8462
翘,qiao2,0.1538
槛,kan3,0.8839
槛,jian4,0.1161
竺,zhu2,1.0000
膏,gao1,1.0000
桔,ju2,0.6687
桔,jie2,0.3312
芯,xin1,1.0000
剥,bo1,0.8679
剥,bao1,0.1321
撒,sa1,0.9748
撒,sa3,0.0252
镐,hao4,0.9745
镐,gao3,0.0255
阙,que4,0.7760
阙,que1,0.2240
露,lu4,0.8961
露,lou4,0.1039
劲,jing4,0.5750
劲,jin4,0.4250
莘,shen1,0.6040
莘,xin1,0.3960
扒,pa2,0.6075
扒,ba1,0.3925
阆,lang4,0.9371
阆,lang2,0.0629
跑,pao3,1.0000
挝,wo1,0.9938
挝,zhua1,0.0063
稽,ji1,1.0000
伺,si4,0.9013
伺,ci4,0.0987
椎,zhui1,0.9875
椎,chui2,0.0125
甬,yong3,1.0000
俊,jun4,1.0000
褚,chu3,0.9938
褚,zhu3,0.0063
汞,gong3,1.0000
仡,ge1,0.9750
仡,yi4,0.0250
蕉,jiao1,1.0000
粥,zhou1,0.9812
粥,yu4,0.0187
贲,ben1,1.0000
仇,chou2,0.8718
仇,qiu2,0.1282
轲,ke1,1.0000
扫,sao3,0.9876
扫,sao4,0.0124
绰,chuo4,1.0000
喝,he1,0.9281
喝,he4,0.0719
茄,qie2,0.9367
茄,jia1,0.0633
裨,pi2,0.8393
裨,bi4,0.1607
颉,jie2,0.5167
颉,xie2,0.4833
杷,pa2,1.0000
吧,ba1,0.6188
吧,ba5,0.3812
脚,jiao3,1.0000
坻,di3,1.0000
幢,zhuang4,0.8158
幢,chuang2,0.1842
哗,hua2,0.9688
哗,hua1,0.0312
赚,zhuan4,0.9935
赚,zuan4,0.0065
禺,yu2,1.0000
胖,pang4,0.9875
胖,pan2,0.0125
症,zheng4,1.0000
摸,mo1,1.0000
撮,cuo1,0.9500
撮,zuo3,0.0500
莞,guan3,0.9806
莞,wan3,0.0129
莞,guan1,0.0065
粘,nian2,0.9797
粘,zhan1,0.0203
咧,lie1,0.6250
咧,lie3,0.3750
苔,tai2,0.9938
苔,tai1,0.0062
楷,kai3,0.9938
楷,jie1,0.0062
啊,a5,0.8311
啊,a4,0.1486
啊,a1,0.0203
漂,piao1,0.6875
漂,piao4,0.2313
漂,piao3,0.0813
吓,xia4,0.6438
吓,he4,0.3563
忒,te4,1.0000
逮,dai4,0.9937
逮,dai3,0.0063
挣,zheng1,0.6000
挣,zheng4,0.4000
翟,zhai2,0.9554
翟,di2,0.0446
闷,men4,0.7722
闷,men1,0.2278
拂,fu2,1.0000
熬,ao2,0.9936
熬,ao1,0.0064
哄,hong1,0.4211
哄,hong3,0.4211
哄,hong4,0.1579
拾,shi2,1.0000
岂,qi3,1.0000
呐,na4,0.9667
呐,na5,0.0333
呢,ne5,0.8679
呢,ni2,0.1321
挨,ai1,0.5063
挨,ai2,0.4937
缉,ji1,1.0000
淋,lin2,0.9875
淋,lin4,0.0125
趟,tang4,0.9875
趟,tang1,0.0125
轴,zhou2,0.9938
轴,zhou4,0.0063
氐,di1,1.0000
陂,bei1,1.0000
吒,zha1,0.5875
吒,zha4,0.4125
卒,zu2,0.9937
卒,cu4,0.0063
晃,huang4,0.9863
晃,huang3,0.0137
缀,zhui4,1.0000
咽,yan1,0.7750
咽,yan4,0.1938
咽,ye4,0.0312
呵,he1,0.9620
呵,a1,0.0380
矫,jiao3,1.0000
晕,yun1,0.6226
晕,yun4,0.3774
肖,xiao1,0.7628
肖,xiao4,0.2372
佚,yi4,1.0000
阇,du1,1.0000
佃,dian4,1.0000
钉,ding1,0.7115
钉,ding4,0.2885
豁,huo4,0.7286
豁,huo1,0.2714
蹶,jue2,1.0000
哇,wa1,1.0000
蔓,man4,0.9182
蔓,man2,0.0818
咯,luo4,0.5431
咯,ge1,0.4397
咯,lo5,0.0172
悝,kui1,1.0000
蠡,li3,0.9441
蠡,li2,0.0559
吗,ma5,0.8375
吗,ma3,0.1625
锯,ju4,1.0000
撇,pie3,0.5733
撇,pie1,0.4267
尿,niao4,1.0000
嘌,piao4,1.0000
馏,liu2,1.0000
攒,cuan2,0.6795
攒,zan3,0.3205
娩,mian3,1.0000
芾,fu2,0.8980
芾,fei4,0.1020
氓,mang2,0.7833
氓,meng2,0.2167
拗,niu4,0.8750
拗,ao4,0.1250
阏,yan1,0.9714
阏,e4,0.0286
劈,pi1,0.9688
劈,pi3,0.0312
膀,bang3,0.7125
膀,pang2,0.2875
庑,wu3,1.0000
褪,tui4,0.9615
褪,tun4,0.0385
悄,qiao1,0.8365
悄,qiao3,0.1635
缪,miu4,0.7852
缪,miao4,0.1946
缪,mou2,0.0134
缪,mu4,0.0067
扛,kang2,0.9125
扛,gang1,0.0875
亟,ji2,1.0000
湮,yan1,1.0000
拽,zhuai4,1.0000
瀑,pu4,1.0000
嘲,chao2,1.0000
绷,beng1,0.9750
绷,beng3,0.0250
夯,hang1,0.9810
夯,ben4,0.0190
棹,zhao4,1.0000
毂,gu3,1.0000
啦,la1,0.7179
啦,la5,0.2821
煞,sha4,1.0000
磕,ke1,1.0000
谩,man4,1.0000
擂,lei4,0.5987
擂,lei2,0.4013
扳,ban1,1.0000
囱,cong1,1.0000
哏,gen2,1.0000
鹄,hu2,1.0000
沓,ta4,1.0000
揣,chuai3,0.6026
揣,chuai1,0.3974
龈,yin2,1.0000
町,ting3,0.9873
町,ding1,0.0127
刹,cha4,0.7500
刹,sha1,0.2500
琢,zhuo2,0.9748
琢,zuo2,0.0252
歪,wai1,1.0000
呛,qiang4,0.9286
呛,qiang1,0.0714
泷,long2,0.8889
泷,shuang1,0.1111
芸,yun2,1.0000
柜,gui4,1.0000
碌,lu4,1.0000
媛,yuan2,0.8808
媛,yuan4,0.1192
鉄,tie3,1.0000
辙,zhe2,1.0000
澹,dan4,0.9359
澹,tan2,0.0641
疟,nu:e4,1.0000
奘,zang4,1.0000
酊,ding1,0.7500
酊,ding3,0.2500
孱,chan2,1.0000
鬲,li4,0.6154
鬲,ge2,0.3846
圜,huan2,0.6316
圜,yuan2,0.3684
刨,bao4,0.5789
刨,pao2,0.4211
熨,yun4,0.9750
熨,yu4,0.0250
牟,mu4,0.6180
牟,mou2,0.3820
楞,leng2,1.0000
哩,li3,0.9643
哩,li5,0.0357
锔,ju2,1.0000
晟,sheng4,1.0000
轧,zha2,0.7357
轧,ya4,0.2571
轧,ga2,0.0071
倘,tang3,1.0000
靓,liang4,1.0000
哦,o4,0.8529
哦,o5,0.1176
哦,o2,0.0294
驮,tuo2,1.0000
旄,mao2,1.0000
啰,luo1,0.9487
啰,luo5,0.0513
僮,tong2,0.5395
僮,zhuang4,0.4605
抡,lun2,0.7273
抡,lun1,0.2727
茜,qian4,0.6859
茜,xi1,0.3141
楂,zha1,1.0000
濯,zhuo2,1.0000
燎,liao2,0.9873
燎,liao3,0.0127
峇,ba1,0.9875
峇,ke4,0.0125
钯,ba3,1.0000
溇,lou2,1.0000
咱,zan2,1.0000
俟,si4,0.8235
俟,qi2,0.1765
囤,tun2,0.9706
囤,dun4,0.0294
厕,ce4,1.0000
耙,pa2,1.0000
唉,ai4,0.8889
唉,ai1,0.1111
偈,ji4,1.0000
隽,jun4,0.8120
隽,juan4,0.1880
喳,zha1,0.8000
喳,cha1,0.2000
覃,tan2,0.5592
覃,qin2,0.4408
嗯,en4,0.6923
嗯,en1,0.3077
咳,ke2,1.0000
絜,jie2,1.0000
莳,shi4,0.6667
莳,shi2,0.3333
垛,duo3,0.8267
垛,duo4,0.1733
桄,guang1,1.0000
玟,wen2,1.0000
秤,cheng4,1.0000
杈,cha4,0.9500
杈,cha1,0.0500
崴,wei1,0.9412
崴,wai3,0.0588
觜,zi1,1.0000
咋,za3,0.4167
咋,ze2,0.3333
咋,zha4,0.2500
铤,ting3,1.0000
哑,ya3,1.0000
喂,wei4,0.9938
喂,wei2,0.0063
蓼,liao3,1.0000
迤,yi3,0.8375
迤,yi2,0.1625
樘,cheng3,0.7500
樘,tang2,0.2500
熜,cong1,1.0000
炅,jiong3,1.0000
喔,wo5,1.0000
钿,dian4,1.0000
芍,que4,1.0000
苕,tiao2,0.8906
苕,shao2,0.1094
簸,bo3,0.7692
簸,bo4,0.2308
閤,ge2,1.0000
铛,dang1,0.9756
铛,cheng1,0.0244
繇,yao2,1.0000
杓,shao2,0.9630
杓,biao1,0.0370
炔,que1,1.0000
豊,li3,0.9375
豊,feng1,0.0625
巂,xi1,1.0000
臊,sao4,0.8750
臊,sao1,0.1250
脯,fu3,0.9487
脯,pu2,0.0513
蚂,ma3,0.9500
蚂,ma4,0.0437
蚂,ma1,0.0063
撩,liao2,0.6364
撩,liao1,0.3636
酢,cu4,0.9500
酢,zuo4,0.0500
颏,ke1,0.9375
颏,ke2,0.0625
拧,ning3,0.8485
拧,ning2,0.1515
桁,heng2,1.0000
徼,jiao4,0.6154
徼,jiao3,0.3846
疸,dan3,1.0000
拚,pin1,1.0000
枸,gou3,0.9250
枸,ju3,0.0750
峒,tong2,0.7971
峒,dong4,0.2029
吱,zhi1,1.0000
馕,nang2,1.0000
沤,ou1,0.6250
沤,ou4,0.3750
菸,yan1,1.0000
镡,tan2,1.0000
荠,qi2,0.8621
荠,ji4,0.1379
镝,di1,0.6341
镝,di2,0.3659
窨,yin4,1.0000
跄,qiang4,0.8333
跄,qiang1,0.1667
偻,lu:3,0.7500
偻,lou2,0.2500
茆,mao2,1.0000
搂,lou3,1.0000
绦,tao1,1.0000
亹,wei3,1.0000
缊,yun4,1.0000
钌,liao3,1.0000
呗,bai4,0.6250
呗,bei5,0.3750
唠,lao2,0.8889
唠,lao4,0.1111
叨,dao1,1.0000
恁,nen4,0.7500
恁,nin2,0.2500
剡,shan4,0.9714
剡,yan3,0.0286
朮,shu4,0.7500
朮,zhu2,0.2500
埏,yan2,1.0000
噌,ceng1,1.0000
訾,zi1,1.0000
咥,die2,1.0000
哟,yo5,0.8000
哟,yo1,0.2000
荑,ti2,1.0000
铫,yao2,1.0000
硐,dong4,1.0000
嚓,cha1,0.5000
嚓,ca1,0.5000
眯,mi1,1.0000
捋,lu:3,0.6667
捋,luo1,0.3333
唷,yo1,1.0000
嬛,huan2,1.0000
焌,jun4,1.0000
杻,niu3,1.0000
隗,wei3,1.0000
浜,bin1,1.0000
貉,mo4,1.0000
瑱,tian4,1.0000
跂,qi3,1.0000
