了,le5
女,nu:3
隆,long2
娜,na4
节,jie2
拓,tuo4
读,du2
臭,chou4
哈,ha1
嵌,qian4
亲,qin1
弟,di4
草,cao3
芥,jie4
挑,tiao3
菌,jun1
衣,yi1
食,shi2
页,ye4
仔,zai3
车,che1
氏,shi4
削,xue1
奔,ben1
妻,qi1
盛,sheng4
祭,ji4
禅,chan2
廑,jin3
恶,e4
汤,tang1
挡,dang3
殷,yin1
乙,yi3
奄,yan3
卜,bu3
倒,dao3
溺,ni4
召,zhao4
缯,zeng1
待,dai4
渠,qu2
畜,chu4
丧,sang4
磨,mo2
薄,bo2
骑,qi2
朴,pu3
傀,kui3
埋,mai2
燕,yan4
罢,ba4
乘,cheng2
谯,qiao2
凉,liang2
糜,mi2
铣,xian3
汗,han4
吐,tu3
蕃,bo1
仆,pu2
纥,he2
挟,xie2
匮,kui4
剌,la4
帖,tie3
谥,shi4
澄,cheng2
炮,pao4
褶,zhe3
泊,po1
涡,wo1
雨,yu3
炸,zha4
涨,zhang3
喇,la3
屏,ping2
夹,jia1
横,heng2
顷,qing3
脏,zang4
刷,shua1
虾,xia1
笼,long2
饮,yin3
泡,pao4
鸟,niao3
坊,fang1
吁,yu4
雀,que4
荷,he2
戌,xu1
冠,guan4
匾,bian3
屯,tun2
抹,mo3
掺,chan1
谜,mi2
厦,sha4
抢,qiang3
埔,pu3
佣,yong1
搁,ge1
旋,xuan2
哺,bu3
爪,zhao3
蛤,ge2
蜇,zhe2
扇,shan4
纤,xian1
缝,feng4
番,fan1
喷,pen1
艮,gen4
姥,lao3
畲,she1
蚌,beng4
蔚,wei4
圩,wei2
凹,ao1
尾,wei3
掖,ye4
肚,du4
敛,lian3
侗,dong4
勾,gou1
辟,pi4
翘,qiao4
槛,kan3
竺,zhu2
膏,gao1
桔,ju2
芯,xin1
剥,bo1
撒,sa1
镐,hao4
阙,que4
露,lu4
劲,jing4
莘,shen1
扒,pa2
阆,lang4
跑,pao3
挝,wo1
稽,ji1
伺,si4
椎,zhui1
甬,yong3
俊,jun4
褚,chu3
汞,gong3
仡,ge1
蕉,jiao1
粥,zhou1
贲,ben1
仇,chou2
轲,ke1
扫,sao3
绰,chuo4
喝,he1
茄,qie2
裨,pi2
颉,jie2
杷,pa2
吧,ba1
脚,jiao3
坻,di3
幢,zhuang4
哗,hua2
赚,zhuan4
禺,yu2
胖,pang4
症,zheng4
摸,mo1
撮,cuo1
莞,guan3
粘,nian2
咧,lie1
苔,tai2
楷,kai3
啊,a5
漂,piao1
吓,xia4
忒,te4
逮,dai4
挣,zheng1
翟,zhai2
闷,men4
拂,fu2
熬,ao2
哄,hong1
拾,shi2
岂,qi3
呐,na4
呢,ne5
挨,ai1
缉,ji1
淋,lin2
趟,tang4
轴,zhou2
氐,di1
陂,bei1
吒,zha1
卒,zu2
晃,huang4
缀,zhui4
咽,yan1
呵,he1
矫,jiao3
晕,yun1
肖,xiao1
佚,yi4
阇,du1
佃,dian4
钉,ding1
豁,huo4
蹶,jue2
哇,wa1
蔓,man4
咯,luo4
悝,kui1
蠡,li3
吗,ma5
锯,ju4
撇,pie3
尿,niao4
嘌,piao4
馏,liu2
攒,cuan2
娩,mian3
芾,fu2
氓,mang2
拗,niu4
阏,yan1
劈,pi1
膀,bang3
庑,wu3
褪,tui4
悄,qiao1
缪,miu4
扛,kang2
亟,ji2
湮,yan1
拽,zhuai4
瀑,pu4
嘲,chao2
绷,beng1
夯,hang1
棹,zhao4
毂,gu3
啦,la1
煞,sha4
磕,ke1
谩,man4
擂,lei4
扳,ban1
囱,cong1
哏,gen2
鹄,hu2
沓,ta4
揣,chuai3
龈,yin2
町,ting3
刹,cha4
琢,zhuo2
歪,wai1
呛,qiang4
泷,long2
芸,yun2
柜,gui4
碌,lu4
媛,yuan2
鉄,tie3
辙,zhe2
澹,dan4
疟,nu:e4
奘,zang4
酊,ding1
孱,chan2
鬲,li4
圜,huan2
刨,bao4
熨,yun4
牟,mu4
楞,leng2
哩,li3
锔,ju2
晟,sheng4
轧,zha2
倘,tang3
靓,liang4
哦,o4
驮,tuo2
旄,mao2
啰,luo1
僮,tong2
抡,lun2
茜,qian4
楂,zha1
濯,zhuo2
燎,liao2
峇,ba1
钯,ba3
溇,lou2
咱,zan2
俟,si4
囤,tun2
厕,ce4
耙,pa2
唉,ai4
偈,ji4
隽,jun4
喳,zha1
覃,tan2
嗯,en4
咳,ke2
絜,jie2
莳,shi4
垛,duo3
桄,guang1
玟,wen2
秤,cheng4
杈,cha4
崴,wei1
觜,zi1
咋,za3
铤,ting3
哑,ya3
喂,wei4
蓼,liao3
迤,yi3
樘,cheng3
熜,cong1
炅,jiong3
喔,wo5
钿,dian4
芍,que4
苕,tiao2
簸,bo3
閤,ge2
铛,dang1
繇,yao2
杓,shao2
炔,que1
豊,li3
巂,xi1
臊,sao4
脯,fu3
蚂,ma3
撩,liao2
酢,cu4
颏,ke1
拧,ning3
桁,heng2
徼,jiao4
疸,dan3
拚,pin1
枸,gou3
峒,tong2
吱,zhi1
馕,nang2
沤,ou1
菸,yan1
镡,tan2
荠,qi2
镝,di1
窨,yin4
跄,qiang4
偻,lu:3
茆,mao2
搂,lou3
绦,tao1
亹,wei3
缊,yun4
钌,liao3
呗,bai4
唠,lao2
叨,dao1
恁,nen4
剡,shan4
朮,shu4
埏,yan2
噌,ceng1
訾,zi1
咥,die2
哟,yo5
荑,ti2
铫,yao2
硐,dong4
嚓,cha1
眯,mi1
捋,lu:3
唷,yo1
嬛,huan2
焌,jun4
杻,niu3
隗,wei3
浜,bin1
貉,mo4
瑱,tian4
跂,qi3
