char,pinyin,ratio
赚,zuan4,0.0052
禺,yu2,1.0
胖,pang4,0.99
胖,pan2,0.01
症,zheng4,1.0
摸,mo1,1.0
撮,cuo1,0.9333
撮,zuo3,0.0667
莞,guan3,0.9845
莞,guan1,0.0052
莞,wan3,0.0103
粘,nian2,0.9784
粘,zhan1,0.0216
咧,lie1,0.5455
咧,lie3,0.4545
苔,tai2,0.995
苔,tai1,0.005
楷,kai3,0.995
楷,jie1,0.005
啊,a5,0.8333
啊,a4,0.1398
啊,a1,0.0269
漂,piao4,0.2388
漂,piao1,0.6816
漂,piao3,0.0796
吓,he4,0.36
吓,xia4,0.64
忒,te4,1.0
逮,dai4,0.9899
逮,dai3,0.0101
挣,zheng4,0.393
挣,zheng1,0.607
翟,di2,0.0457
翟,zhai2,0.9543
闷,men4,0.7576
闷,men1,0.2424
拂,fu2,1.0
熬,ao2,0.9949
熬,ao1,0.0051
哄,hong4,0.1667
哄,hong1,0.4167
哄,hong3,0.4167
拾,shi2,1.0
岂,qi3,1.0
呐,na4,0.9735
呐,na5,0.0265
呢,ni2,0.1206
呢,ne5,0.8794
挨,ai2,0.4394
挨,ai1,0.5606
缉,ji1,1.0
淋,lin2,0.9851
淋,lin4,0.0149
趟,tang4,0.99
趟,tang1,0.01
轴,zhou2,0.995
轴,zhou4,0.005
氐,di1,1.0
陂,bei1,1.0
吒,zha4,0.42
吒,zha1,0.58
卒,zu2,0.995
卒,cu4,0.005
晃,huang4,0.9891
晃,huang3,0.0109
缀,zhui4,1.0
咽,yan1,0.775
咽,yan4,0.175
咽,ye4,0.05
呵,he1,0.9596
呵,a1,0.0404
矫,jiao3,0.9949
矫,jiao2,0.0051
晕,yun4,0.3668
晕,yun1,0.6332
肖,xiao4,0.2449
肖,xiao1,0.7551
佚,yi4,1.0
阇,du1,1.0
佃,dian4,1.0
钉,ding1,0.7077
钉,ding4,0.2923
豁,huo4,0.72
豁,huo1,0.28
蹶,jue2,1.0
哇,wa1,1.0
蔓,man4,0.9146
蔓,man2,0.0854
咯,ge1,0.4315
咯,luo4,0.5479
咯,lo5,0.0205
悝,kui1,1.0
蠡,li3,0.9218
蠡,li2,0.0782
吗,ma3,0.1542
吗,ma5,0.8458
锯,ju4,1.0
撇,pie1,0.4362
撇,pie3,0.5638
尿,niao4,1.0
嘌,piao4,1.0
馏,liu2,1.0
攒,cuan2,0.6786
攒,zan3,0.3214
娩,mian3,1.0
芾,fu2,0.871
芾,fei4,0.129
氓,mang2,0.8013
氓,meng2,0.1987
拗,niu4,0.875
拗,ao4,0.125
阏,yan1,0.9545
阏,e4,0.0455
劈,pi1,0.9751
劈,pi3,0.0249
膀,bang3,0.6866
膀,pang2,0.3134
庑,wu3,1.0
褪,tui4,0.9592
褪,tun4,0.0408
悄,qiao1,0.8392
悄,qiao3,0.1608
缪,miu4,0.8021
缪,miao4,0.1818
缪,mou2,0.0107
缪,mu4,0.0053
扛,gang1,0.12
扛,kang2,0.88
亟,ji2,1.0
湮,yan1,1.0
拽,zhuai4,1.0
瀑,pu4,1.0
嘲,chao2,1.0
绷,beng1,0.9802
绷,beng3,0.0198
夯,hang1,0.9848
夯,ben4,0.0152
棹,zhao4,1.0
毂,gu3,1.0
啦,la1,0.7333
啦,la5,0.2667
煞,sha4,0.977
煞,sha1,0.023
磕,ke1,1.0
谩,man4,1.0
擂,lei4,0.6105
擂,lei2,0.3895
扳,ban1,1.0
囱,cong1,1.0
哏,gen2,1.0
鹄,hu2,1.0
沓,ta4,1.0
揣,chuai1,0.4184
揣,chuai3,0.5816
龈,yin2,1.0
町,ting3,0.9899
町,ding1,0.0101
刹,cha4,0.7603
刹,sha1,0.2397
琢,zhuo2,0.9664
琢,zuo2,0.0336
歪,wai1,1.0
呛,qiang4,0.8889
呛,qiang1,0.1111
泷,long2,0.8627
泷,shuang1,0.1373
芸,yun2,1.0
柜,gui4,1.0
碌,lu4,1.0
媛,yuan4,0.1217
媛,yuan2,0.8783
鉄,tie3,1.0
辙,zhe2,1.0
澹,dan4,0.949
澹,tan2,0.051
疟,nu:e4,1.0
奘,zang4,1.0
酊,ding1,0.7097
酊,ding3,0.2903
孱,chan2,1.0
鬲,ge2,0.3469
鬲,li4,0.6531
圜,huan2,0.6
圜,yuan2,0.4
刨,pao2,0.4792
刨,bao4,0.5208
熨,yun4,0.98
熨,yu4,0.02
牟,mu4,0.5893
牟,mou2,0.4107
楞,leng2,1.0
哩,li3,0.9623
哩,li5,0.0377
锔,ju2,1.0
晟,sheng4,1.0
轧,ya4,0.24
轧,zha2,0.7486
轧,ga2,0.0114
倘,tang3,1.0
靓,liang4,1.0
哦,o4,0.7907
哦,o5,0.186
哦,o2,0.0233
驮,tuo2,1.0
旄,mao2,1.0
啰,luo1,0.9592
啰,luo5,0.0408
僮,tong2,0.5729
僮,zhuang4,0.4271
抡,lun2,0.7857
抡,lun1,0.2143
茜,qian4,0.6633
茜,xi1,0.3367
楂,zha1,1.0
濯,zhuo2,1.0
燎,liao2,0.9899
燎,liao3,0.0101
峇,ba1,0.9901
峇,ke4,0.0099
钯,ba3,1.0
溇,lou2,1.0
咱,zan2,1.0
俟,si4,0.8389
俟,qi2,0.1611
囤,tun2,0.9651
囤,dun4,0.0349
厕,ce4,1.0
耙,pa2,1.0
唉,ai4,0.8333
唉,ai1,0.1667
偈,ji4,1.0
隽,juan4,0.2041
隽,jun4,0.7959
喳,cha1,0.2857
喳,zha1,0.7143
覃,qin2,0.4607
覃,tan2,0.5393
嗯,en1,0.3529
嗯,en4,0.6471
咳,ke2,1.0
絜,jie2,1.0
莳,shi2,0.25
莳,shi4,0.75
垛,duo3,0.8457
垛,duo4,0.1543
桄,guang1,1.0
玟,wen2,1.0
秤,cheng4,1.0
杈,cha1,0.0769
杈,cha4,0.9231
崴,wei1,0.9091
崴,wai3,0.0909
觜,zi1,1.0
咋,zha4,0.2
咋,za3,0.4667
咋,ze2,0.3333
铤,ting3,0.9474
铤,ding4,0.0526
哑,ya3,1.0
喂,wei4,0.995
喂,wei2,0.005
蓼,liao3,1.0
迤,yi3,0.8317
迤,yi2,0.1683
樘,cheng3,0.7143
樘,tang2,0.2857
熜,cong1,1.0
炅,jiong3,1.0
喔,wo5,1.0
钿,dian4,1.0
芍,que4,1.0
苕,tiao2,0.8889
苕,shao2,0.1111
簸,bo3,0.6939
簸,bo4,0.3061
閤,ge2,1.0
铛,dang1,0.9615
铛,cheng1,0.0385
繇,yao2,1.0
杓,shao2,0.9706
杓,biao1,0.0294
炔,que1,1.0
豊,feng1,0.0476
豊,li3,0.9524
巂,xi1,1.0
臊,sao1,0.2
臊,sao4,0.8
脯,fu3,0.9388
脯,pu2,0.0612
蚂,ma3,0.95
蚂,ma4,0.045
蚂,ma1,0.005
撩,liao1,0.3571
撩,liao2,0.6429
酢,cu4,0.902
酢,zuo4,0.098
颏,ke1,0.95
颏,ke2,0.05
拧,ning3,0.8333
拧,ning2,0.1667
桁,heng2,1.0
徼,jiao4,0.7059
徼,jiao3,0.2941
疸,dan3,1.0
拚,pin1,1.0
枸,gou3,0.94
枸,ju3,0.06
峒,tong2,0.7816
峒,dong4,0.2184
吱,zhi1,1.0
馕,nang2,1.0
沤,ou1,0.6364
沤,ou4,0.3636
菸,yan1,1.0
镡,tan2,1.0
荠,qi2,0.8919
荠,ji4,0.1081
镝,di1,0.6154
镝,di2,0.3846
窨,yin4,1.0
跄,qiang4,0.875
跄,qiang1,0.125
偻,lu:3,0.5455
偻,lou2,0.4545
茆,mao2,1.0
搂,lou3,1.0
绦,tao1,1.0
亹,wei3,1.0
缊,yun4,1.0
钌,liao3,1.0
呗,bai4,0.619
呗,bei5,0.381
唠,lao2,0.8333
唠,lao4,0.1667
叨,dao1,1.0
恁,nen4,0.8
恁,nin2,0.2
剡,shan4,0.9773
剡,yan3,0.0227
朮,shu4,0.6667
朮,zhu2,0.3333
埏,yan2,1.0
噌,ceng1,1.0
訾,zi1,0.9474
訾,zi3,0.0526
咥,die2,1.0
哟,yo5,0.8438
哟,yo1,0.1562
荑,ti2,1.0
铫,yao2,1.0
硐,dong4,1.0
嚓,cha1,0.45
嚓,ca1,0.55
眯,mi1,1.0
捋,luo1,0.4167
捋,lu:3,0.5833
唷,yo1,1.0
嬛,huan2,1.0
焌,jun4,1.0
杻,niu3,1.0
隗,wei3,1.0
浜,bin1,1.0
貉,mo4,1.0
瑱,tian4,1.0
跂,qi3,1.0
