character,pinyin,part_of_speech,definition
过,guo4,5,(1) 过分;;过于;太甚 以其境过清，不可久居，乃记之而去。唐 · 柳宗元 《至小丘西小石潭记》 古者天下之人爱戴其君，比之如父母;拟之如天，诚不过也。清 · 黄宗羲 《原君》 又如:过爱(过分的爱);过余(过分);过头话(过分的大话)
过,guo4,11,(1) 遍，次。如:过儿(次;遍);一过(一遍);过子(次数;遍)
过,guo5,0,(1) 用在动词后表示曾经或已经：看过。用过。 (2) 用在动词后，与“来”、“去”连用，表示趋向：拿过来。走过去。
几,ji1,6,(1) (象形。本义:古人席地而坐时有靠背的坐具) (2) 同本义 几，坐所以凭也。掌五几五席之名物。。注:“五几:左右玉雕彤漆素。” 室中度以几，堂上度以筵。几杖，所以扶助衰也。必操几杖以从之。有司以几筵舍奠于墓左。。疏:“依神也。” 或肆之筵，或授之几。又如:几杖(供老人依靠的小桌子和支撑用的手杖。古代赐几杖，表示敬老的礼节);几席(几和席，为古人凭依、坐卧的器具);几榻(靠几与卧榻，常用以泛指日用器具);几簟(几席) (3) 后专指有光滑平面、由腿或其它支撑物固定起来的小桌子 吾妻来归。时至轩中，从余问古事，或凭几学书。明 · 归有光 《项脊轩志》 入其舍，则密室垂帘，帘外设香几。又如:几案(桌子。因几案用于办公，因以代表公牍文书);几案之才(处理公文的才能);几筵(古代称祭席与灵座;筵席，几席);几上肉(案上的肉，比喻任人宰割)
几,ji1,6,(1) 苗头;预兆 徒有疾恶心，奈何不知几。唐 · 苏涣 《变律》 又如:几先(预兆，事先) (2) 政务。通“机” 或问为政有几。。注:“要也。” 心缠几务，而虚述人外。
几,ji1,2,(1) 表示非常接近，相当于“几乎”、“差不多” 汉 之为 汉 ，几四十年矣。汉 · 贾谊 《论积贮疏》 几死者数矣。唐 · 柳宗元 《捕蛇者说》 几自刭死。(几，“几几乎”的省略写法) 宋 · 文天祥 《指南录后序》 几为巡徼所陵迫死。(通“凌”。) 宋 · 文天祥 《指南录后序》 几欲先走。磴几不可登。清 · 姚鼐 《登泰山记》 几自疑身外即战场。清 · 薛福成 《观巴黎油画记》 有朕位几不保，命 康 与卿及同志速设法筹救之语。清 · 梁启超 《谭嗣同传》 又如:几有(几乎有;具有);几首(方言。那边);几虚(几乎徒然);几几乎(几几。几乎，差不多)
几,ji1,5,(1) (会意。从戌。戌，兵守也。本义:细微，隐微) (2) 同本义 幾，微也，殆也。几者，动之微，吉之先见者也。传 一日二日万几。事父母几谏。君子见几而作，不俟终日。 (3) 危险 本不固者末必几。
几,ji1,10,(1) 接近;达到 几，近也。月几望。知乐则几于礼矣。意几乎后言。学之所以不能几于古者，作此之由乎? 清 · 刘开 《问说》 夫工艺非细事也，西人之神明规矩亦断非一蹴可几也。清 · 郑应 《盛世危言·技艺》
几,ji3,8,(1) (会意，本义:微，隐微) (2) 表示肯定观念，意思是“虽少但仍有一些” 几家深树里，一火夜渔归。唐 · 项斯 《江村夜归》 见哥哥如此分析，以为理之当然，绝无几微不平的意思。又如:添几件衣服;给下一个人留下几朵花;几般儿(好几样，好几种;多么地;何等地);几见(极少见到);几微(一点;些微);几回价(几回家。几次地，多次地) (3) 表示否定概念意思是“不多”“没有多少” 韩子 亦无几求。。注:“言所求少。” 又如:所剩无几 (4) 表示疑问，用以询问数目的多少 几为之笑而不陵我? 子来几日矣? 崔九 堂前几度闻。唐 · 杜甫 《江南逢李龟年》 几处早莺争暖树。唐 · 白居易 《钱塘湖春行》 其几千里。清 · 彭端淑 《为学一首示子侄》 读书者有几。清 · 袁枚 《黄生借书说》 几世几年，剽掠其人。唐 · 杜牧 《阿房宫赋》 未几，敌兵果舁炮至。(未几，没有多久，一会儿。) 清 · 徐珂 《清稗类钞·战事类》 禽兽之变诈几何哉。(禽兽的欺骗手段能有多少啊。变诈作假，欺骗。几何，多少。) 又如:几里路;几天;几何(多少;若干);几化(方言。多少);几多(多少);几许(多少，若干);几数(多少)
几,ji3,1,(1) 表示疑问，相当于“何”、“什么”。如:不知征马几时归;几样(怎样地，多么地)
阇,du1,6,(1) 城门上的台 (2) 又如:阇台(城门上的台) (3) 泛指台 阇谓之台。西夷气如室屋，南夷气如阇台。 (4) 瓮城市里。如:阇里(街巷)
扇,shan1,10,(1) 摇扇 吹，扇助也。艳妻扇方处。。毛本作煽。一扇息火，二扇生风，三扇下雨。又如:扇风(摇扇以生风);扇暍(传说周武王曾替中暑人扇风取凉);扇枕温衾(对父母老人极尽孝道之意) (2) 以掌批面。如:扇耳光;扇了几巴掌 (3) 施展 宋 官御史，坐行赇免，居林下，大扇威虐。
扇,shan1,10,(1) 煽动、鼓动 奸谄颇相扇构。又如:扇构(煽动众人借机迫害);扇诱(煽惑引诱);扇惑(煽动蛊惑);扇聚(煽动纠合) (2) 振翼欲飞。如:扇动(指鸟禽飞虫鼓翅);扇翅(振翅) (3) 起，吹。如:扇风(起风，鼓风) (4) 宣扬;传播。如:扇扬(宣扬，张扬);扇和(宣扬附和) (5) 遮蔽。如:叶死不扇(树叶枯死，不会遮阴) (6) 泛指兴起、发生 云雷方扇，鞠义旅以勤王。 (7) 扑打 忽有皂雕，飞起直来台上扇 妲己。
扇,shan1,5,(1) 炽盛。通“煽” 阎妻骄扇，日以不臧。逮乎江左，此道弥扇。暨乎暮年，此风愈扇。
扇,shan4,6,(1) (会意。从户从翅省。户，单扇门;从翅，像鸟的翅膀，可以张合。本义:门扇) (2) 同本义 扇，扉也。门两旁如羽翼也。乃修阖扇。。注:“用竹葦曰扇。” 又如:扇板(门板);扇扉(门扇);窗扇;隔扇;火狐皮帽的耳扇 (3) 扇子 箑，自关而西谓之扇。。按，即菨也。盖以杨门之扇。。注:“屏也。” 有蒲葵扇五万。又如:芭蕉扇;羽毛扇;蒲扇;电扇;扇市(以出售扇子等夏季用品为主的市集);扇拂(拂除灰尘的扇子);扇坠(悬于扇柄的饰物);扇月(圆月。以其如团扇，故称) (4) 古代仪仗中障尘蔽日的用具，也叫“障扇”或“掌扇”。如:扇莨( -làng )(古仪仗中伞的曲盖);扇伞(仪仗所用的长柄掌扇和伞盖) (5) 毛巾、盖头之类织品 候扇举而清叫，野闻声而应媒。
扇,shan4,11,(1) 用于门、窗等扁形器物 旁开小窗，左右各四，共八扇。明 · 魏学洢 《核舟记》 又如:一扇门;两扇窗
扇,shan4,10,(1) 遮蔽 榆性扇地，其阴下五谷不生。贾思勰 《齐民要术》 (2) 用同“骟”。割去马的睾丸或卵巢。如:扇马(阉割过的马)
舍,she3,10,(1) 放在一边;丢开 捨，释也。从手，舍声。捨，置也。舍车而徒。又如:舍手(放开手;放下手);舍置(丢开);舍脸(沉下脸) (2) 放弃;舍弃 万物捨此而求生。注经传多以舍为之 不如舍。舍命不渝。子 在川上曰:逝者如斯夫，不舍昼夜。求则得之，舍者失之。管仲 之取舍，非周公旦未可知也。而 操 舍鞍马，仗舟楫，与 吴 越 争衡。舍鱼而取熊掌者也。又如:舍己成人(牺牲自己利益，成全别人);舍却(抛开);舍实求虚(放弃实在的东西，而去追求虚无缥缈的所在);舍拼(舍弃;不顾一切干);舍筏(舍弃渡人的船筏);舍业(放弃学业;舍弃产业);舍己芸人(舍弃自己的田地，去耕耘别人的田地。比喻荒废自己本分内的工作而替他人做事) (3) 废止、停止 耕者少舍。。注:“止也。” 舍我穑事。。释文:“废也。” 舍药物可也。。服 注:“止也。” 驽马十驾，功在不舍。又如:舍业(停止学习) (4) 布施，施舍 我听见人说，就是中相公时，也不是你的文章，还是宗师看见你老，不过意，舍与你的。又如:舍个数(在神佛面前许个愿);舍贫(接济穷人);舍宅(施舍住宅作寺院);舍施(施舍) (5) 通“赦”。免罪或免罚;释放 忧忘其身，内忘其亲，上忘其君，是刑法之所不舍也，圣王之所不畜也。王贤其母，说其义，即舍田子罪。夫人请之，吾舍之也。又如:舍禁(解除封山泽的禁令);舍纵(宽赦，放纵);舍眼(睁眼;抬眼) (6) 发，发射 不失其驰，舍矢如破。又如:舍拔(发箭);舍放(发射，放射)
舍,she4,6,(1) (象形。小篆字形，上端象屋顶，下端象建筑物的基础。中间是客舍招徕顾客的幌子。本义:客舍) (2) 同本义 舍，市居曰舍。。按，客店也。周礼之庐也，路室也，候馆也，皆是。天子赐舍。。注:“犹致馆也。” 夫子休就舍。子闻之也，舍馆定，然后求见长者乎? 至舍，四支僵不能动。明 · 宋濂 《送东阳马生序》 夜则以兵围所寓舍。宋 · 文天祥 《指南录后序》 又如:旅舍(旅馆);舍馆(住所;客舍);舍长(守护客馆的负责人) (3) 房屋(住宅) 将适舍。— 《礼记·曲礼》。注:“主人家也。” 舍之上舍。。注:“甲第也。” 神归其舍。舍南舍北皆春水。荆 人弗知，循表而夜涉，溺死者千有余人，军惊而怀都舍。又如:庐舍(简陋的房屋);茅舍(茅屋);舍园(宅内庭院);舍中(家中);宿舍;茅舍;牛舍;校舍;舍匿(用房子藏匿。即“窝藏”) (4) 营寨;营房 于是徙舍而走 平陵。 (5) 中国古代行军以三十里为一舍 微 楚 之惠不及此，退三舍避之，所以报也。。杜预 注:“一舍，三十里。” (6) 公子;少爷。如:舍人(公子;少爷)
舍,she4,1,(1) 谦辞，用于对别人称自己的家或辈分低、年纪小的亲属 屈 到舍下暂住，细细请教何如? 又如:舍弟(对别人谦称自己的弟弟);舍妹(对别人谦称自己的妹妹);舍下(谦称自己的居室)
舍,she4,10,(1) 置;安置 舍 相如 广成传舍。唐 浮图 慧褒 始舍于其址。宋 · 王安石 《游褒禅山记》 又如:舍匿(窝藏);舍藏(窝藏) (2) 住宿 夫子出于山，舍于故人之家。又如:舍次(临时住宿);舍止(停驻，居留) (3) 休息;止息 逝者如斯夫，不舍昼夜。 (4) 安排住宿 少间 白 至，乘骏马如龙，生另舍舍之。 (5) 宿营 凡师一宿为“舍”，再宿为“信”，过信为“次”。
娜,na4,6,(1) (形声。从女，那声( nuó )。本义:婀娜，美貌) 女子人名用字 娜，女字。
绰,chuo4,5,(1) (形声。从糸( mì )，卓声。本义:宽大，舒缓) (2) 同本义 宽兮绰兮。 (3) 又如:绰步(大步);绰板婆(大脚婆娘);绰绰(宽舒裕如) (4) 姿态柔美 柔情绰态，媚于语言。曹植 《洛神赋》 (5) 又如:绰态(柔媚多姿);绰俏(漂亮;俊俏) (6) 隐隐约约。如:绰见(瞧见，看见);绰注(琴声自下而上为绰，自上而下为注) (7) 端正 曾经绰立侍丹墀，绽蕊宫花拂面权。唐 · 元稹 《酬孝甫见赠诗》 (8) 又如:绰立
绰,chuo4,10,(1) 吹拂。如:拂绰(拂拭);绰尘(拂拭尘土) (2) 搅乱。如:绰趣(逗乐);绰人眼光(搅乱视线)
露,lou4,10,(1) ∶显出;冒出。如:露刃(刀剑出鞘);露光;露相;露白(露于外。白:银子)
露,lu4,6,(1) (形声。从雨，路声。本义:露水) (2) 同本义 露，润泽也。。段 注: “泽与露叠韵。五经通义曰:和气津凝为露。蔡邕月令曰:露者，阴之液也。按，露之言胪也。故凡陈列表见于外曰露。” 朱 曰: “士气津液从地而兴，若薄以寒气，即结而为霜。” 阳气胜则散为雨露。白露为霜。 (3) 又 白露未已。朝露待日晞。人生如朝露。 (4) 又如:雨露(雨和露。比喻恩惠);露草(沾露的草;植物名);露师(军队蒙受风霜雨露，住宿在外);露水姻缘(短暂的、不正当的男妇关系) (5) 水气 白露横江。苏轼 《赤壁赋》 (6) 糖浆，糖汁。如:果子露;玫瑰露;荷叶露 (7) 滋润;恩泽。如:露雨(比喻恩泽);露脸(比喻脸如露珠般晶莹润泽) (8) 通 “路”。道路 微君之故，胡为乎中露。朝群臣于露门。
露,lu4,10,(1) 显露;显现在外 今乐远出以露威灵。都邑露。。注: “谓无城郭墙垣。” 乃露布上书。。注: “露布，谓不封也。” 止露尻尾。袒胸露乳。明 · 魏学洢 《核舟记》 (2) 又如:赤身露体;藏头露尾;抛头露面;露白(财宝被人看见);露天生意(〈方〉∶摆摊卖货);露堂(室外;露天);露止(栖宿在屋外或野外);露立(露天站立);露布(指不封口的公文或布告) (3) 滋润 英英白云，露彼菅茅。 (4) 庇护 智子之道善矣，是先生覆露子也。 (5) 败坏 勿使有所壅闭湫底，以露其体。
馏,liu2,10,(1) 通过加热使物质分离或分解。如:蒸馏(加热使液体化成蒸气后再凝成纯净的液体);干馏(加热分解已隔热的固体燃料)
正,zheng1,6,(1) 农历一年的第一个月 正，岁之首月， 夏 以建寅月为正， 殷 以建丑月为正，周以建子月为正。 (2) 箭靶的中心 终日射候，不出正兮。 (3) 引申为目标 刑(形)名已立，声号已建，则无所逃迹若正匿。
正,zheng1,10,(1) 通“征” (2) 征税 正其货贿。。郑 注:“正，读为征。” 唯加田无国正。谨正盐筴。。李哲明 云:“正，税也，正、征古字通用。” (3) 出兵，征讨 予畏上帝不敢不正。故诸侯服而无正。司马弗正。
正,zheng4,5,(1) (指事。甲骨文字形，上面的符号表示方向、目标，下面是足(止)，意思是向这个方位或目标不偏不斜地走去。本义:不偏斜，平正) (2) 同本义 席不正不坐。有绳不以正。。注:“正，直也。” 稍稍正坐。泰山正南。清 · 姚鼐 《登泰山记》 正则无景。清 · 龚自珍 《病梅馆记》 斫其正。又如:正门;正厅;正殿;正宫;正所儿(正屋);正阳(日中之气);正锋(中锋);正院(正中的院子);正分(正半，恰好一半);正胁(三分牲牛之胁，中胁为正胁);正位(中正之位);正东;正上方;正前方;正南;正交;正情(端庄的情态) (3) 图形各边、角都相等。如:正印(正方形的官印);正方形;正多边形;正方体 (4) 正直，正派 平心持正。又如:正人君子;忠正;廉正;正明公道(正大光明，不偏私);正明交易(正大光明的事);正士(正直之士);正人(正直的人;品行端正的上等人) (5) 纯正不杂(多指色、味) 古书之正。唐 · 韩愈 《朱文公校昌黎先生集》 正而不至焉。正赤如丹。(纯红得像朱砂。正:纯;丹:朱砂。) 清 · 姚鼐 《登泰山记》 又如:正一(纯真之一);正意(纯正的心志);正黑(纯黑色);正风(纯正的民歌;纯正的风气);正性(纯正的禀性);正味(纯正的滋味);正青(纯青) (6) 作为主体的，与“副”相对 而十四司正副郎好事者。方苞 《狱中杂记》 又如:正职;正角;正团长;正房大院(院落中的主要房舍及较大活动场所);正赋(主要的赋税。指地丁税) (7) 正当;合适 虽成败事异，而同居正号者，竝列于篇。名不正则言不顺。又如:正号(正当的名号);正条儿(比喻正经、非淫乱之事);正用情借(正为有正当用途托情借债) (8) 有关正电，由正电组成，或带正电。如:正电子;正离子 (9) 代数上为正号;大于零的。如:正数;正号 (10) 正点。如:十二点正;正午 (11) 正面，面对观察者或对手的一面 从搭连中取出个正反两面皆可照人的镜子来。又如:这张纸正好都很光洁
正,zheng4,10,(1) 通“整”( zhěng )。使正;整理;端正 立必正方，不倾听。正尔容。正冠而缨绝。又如:正家(端正家风);正襟(端正衣襟);正德(端正自己的德行);正己(端正自己的思想、言行) (2) 整治 居者思正其家，行者乐出其途。柳宗元 《全义县复北门记》 又如:正世(整治世道);正域(整治封疆);正治(治理;整治) (3) 纠正;改正，匡正 以正 晋国。正法则，选贤良。政以治民，刑以正邪。就有道而正焉。正身以黜恶。唐 · 魏征 《谏太宗十思疏》 又如:正历(改订历法);正订(订正;改正著作中的谬误);正俗(匡正风俗);正曲(矫正枉曲);正主(匡正君主) (4) 正法，治罪 贼杀其亲，则正之。 (5) 决定，考定 以土圭正日景。张昭远 《旧唐书》
正,zheng4,6,(1) 官长;君长 昔先正保衡，作我先王。又如:正受(编制以内的官员);酒正(酒官之长) (2) 正常情况，正命，正常寿限 百岁之命，是其正也。王充 《论衡》 (3) 嫡长子，与“庶”相对 诸侯与正而不贤也。 (4) 妻，旧时代敬称人妻为“令正” 不得登用妾媵以为嫡正。房玄龄 《晋书》 又如:正头娘子(正妻;大娘子);正头妻(正式的、合法的妻子);正夫人(嫡妻，正房夫人);正嫡(正室，嫡妻;又指正室之子) (5) 道理，规律 尽璇机之正。 (6) 通“政”。政治，政事 有不贡士谓之不率正者。古者文武为正均分。虽天子三公问正。 (7) 通“证”。凭证，证据 必有正焉。指九天以为正兮。指苍天以为正。 (8) 姓
正,zheng4,2,(1) 正好，恰好 六合正相应。又如:正称下情(正合心意;正中下怀);正没理处(正在不知如何是好的时候);正未有艾(正无穷期);正如你所说的;大小正合适;正要(刚要;正预备) (2) 表示动作、状态的进行，持续，正在 中儿正织鸡笼。宋 · 苏轼 《浣溪沙》 见 王夫人 正和 薛姨妈 长篇大套的说些家务人情话。又如:正然(正在);正下着雪 (3) 仅;只 乃自 吴 寻二 陆 ， 平原 不在，正见 清河。 (4) 端正地 宾客意少舒，稍稍正坐。 (5) 方，刚刚 我思 舜 ，正郁 陶。 (6) 公然;显然 正告天下。 (7) 总是 何以正善人少而恶人多。
正,zheng4,1,(1) 这么;这样 今年怎正利害? 又如:怎正大;怎正多
撒,sa1,10,(1) 抛开;放开 说着先就撒马前去。 (2) 又如:撒开(张开，放开;撇开，散开);撒口(放松口气);撒开鸭子(放开腿脚);撒步(放开脚步);撒鸭子(放开脚步快走);撒花开顶(头破血流);撒嘴(松开口);撒脱(洒脱);撒撇(撒开;回避) (3) 松动;脱落。如:大秋一过，我们就把牛、羊、猪都撒了，让它们自己去找食 (4) 放;排泄 只在佛殿后撒尿撒屎。 (5) 又如:撒溲(小便);小孩把尿撒得到处都是 (6) 耍;故意施展、表现。如:撒风(做出疯癫放纵的样子);撒科(打诨;打趣);撒拗(撒赖);撒沁(信口胡说，寻开心);撒顽(撒野，耍闹;撒赖);撒吞(装聋作哑，装傻);撒诈捣虚(虚诈欺人);撒极(撒泼) (7) 甩开，舍弃。如:撒拉溜侈(糟踏浪费);撒星(四散;星散);撒决(决裂);撒放(丢放);撒漫(抛弃;断送) (8) 摆放。如:撒大躺线儿(放长线;作长远规划) (9) 塞;系 那 孙大圣 早已知二魔化在葫芦里面，却将他紧紧拴扣停当，撒在腰间。 (10) 弯着 和尚见他的兵器被人吃住了，咬住牙，撒着腰，往后一拽。 (11) 结成 你也见过一个千金小姐和强盗撒对儿的么? (12) 离。如:撒开(脱身);撒决(决裂) (13) 姓
撒,sa3,10,(1) (形声。从手，散声。字本从米，殺声。本义:散布) (2) 同本义 撒，散之也。星如撒沙出。韩愈 《月蚀诗效玉川子作》 (3) 又如:撒帐(旧婚俗。夫妻对拜后即坐于床上，由专人撒金钱、瓜子和红枣，表示多子多孙);撒漫(大手大脚，大方);撒泼(抛撒;撒落);撒枯(散布干肥);撒星(散布的火星) (4) 散落，洒下。如:撒花(织物上的碎花图案;讨索或抢劫得来的钱财);撒和(撒货。给牲口喂草料;以饮食款待人;评定;游荡) (5) 只把脚尖伸进鞋内，拖着走。如:撒拉(把鞋后帮踩在脚后跟下);撒鞋(拖鞋) (6) 插;塞进 那呆子把钉钯撒在腰里。
大,da4,5,(1) (象形。甲骨文字形，象人的正面形，有手有脚。“大”是汉字部首之一，从“大”的字往往与人类或人事有关。本义:大小的“大”) (2) 形容体积、面积、数量、力量、规模、程度等方面超过一般或超过所比较的对象。与“小”相对 大，天大地大人亦大，故大象人形。古文大也，籀文介，改古文亦象人形。凡大人、大夫、太子、太君，皆尊词。遵彼大路兮。大有。。释文:“大有，包容丰富之象。” 大报天而主日也。。其朝践用两大尊。。司农 注:“大，古之瓦尊。” 而祭大山之邑也。然后会于大庙。。注:“始祖庙也。” 大，小大也。奠高山大川。古 田常 上请爵禄而行之群臣，下大斗斛而施于百姓。此不为远者小而近者大乎? 忽一人大呼。又如:一只大口袋;山上的大白楼;大浸(大水);大美(大功德，大功业);大蔡(大龟);大泉(大钱) (3) 年辈较长或排行第一的 大兄言办饭，大嫂言视马。汉乐府 《孤儿行》 诸葛恢 大女适太尉 庾亮 儿。又如:大妇(长子之妻);大宗(宗法社会以嫡系长房为“大宗”;余子为小宗) (4) 重要，重大 故临崩寄臣以大事也。诸葛亮 《出师表》 愿牢定大计，莫用众人之议也! 又如:大头脑(主脑;主旨);大八丈(大人物);大柄(大权);大趣(大旨;主要的旨趣) (5) 德高望重的 吾长见笑于大方之家。王年小而位大。利见大人。又如:大操(高尚的操守);大贤(才德超群的人) (6) 超过一般 陶公少有大志，家酷贫。 (7) 学识渊博的 大匠不为拙工改废绳墨。 (8) 规模大 胡人大入塞。公子乃置酒大会宾客。又如:大手术;大反攻 (9) 性质严重 欺君不忠，母病不孝，不忠不孝，其罪莫大。 (10) 尊称对方的事物。敬语。如:大作;尊姓大名 (11) 用在时令、时间或节日前表示强调。如:大白天;大清早;大喜的日子
